파일명,패키지,버전,Python,ABI,플랫폼,크기(KB)
aiohttp-3.14.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,aiohttp,3.14.3,cp311,cp311,manylinux2014_x86_64,1744.36
blake3-1.0.9-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,blake3,1.0.9,cp311,cp311,manylinux2014_x86_64,378.75
cbor2-6.1.4-cp311-cp311-manylinux_2_28_x86_64.whl,cbor2,6.1.4,cp311,cp311,manylinux_2_28_x86_64,453.43
cffi-2.1.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,cffi,2.1.1,cp311,cp311,manylinux2014_x86_64,212.7
charset_normalizer-3.5.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,charset-normalizer,3.5.1,cp311,cp311,manylinux2014_x86_64,256.18
cryptography-50.0.0-cp311-abi3-manylinux_2_34_x86_64.whl,cryptography,50.0.0,cp311,abi3,manylinux_2_34_x86_64,4623.5
cupy_cuda12x-14.2.0-cp311-cp311-manylinux2014_x86_64.whl,cupy-cuda12x,14.2.0,cp311,cp311,manylinux2014_x86_64,133430.05
faiss_cpu-1.15.0-cp310-abi3-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,faiss-cpu,1.15.0,cp310,abi3,manylinux_2_27_x86_64,18324.83
fastar-0.12.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,fastar,0.12.0,cp311,cp311,manylinux2014_x86_64,793.79
frozenlist-1.8.0-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl,frozenlist,1.8.0,cp311,cp311,manylinux_2_28_x86_64,225.65
grpcio-1.67.1-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,grpcio,1.67.1,cp311,cp311,manylinux2014_x86_64,5743.17
hf_xet-1.6.0-cp38-abi3-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,hf-xet,1.6.0,cp38,abi3,manylinux2014_x86_64,4360.02
httptools-0.8.0-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl,httptools,0.8.0,cp311,cp311,manylinux_2_28_x86_64,453.79
interegular-0.3.3-py37-none-any.whl,interegular,0.3.3,py37,none,any,23.08
jiter-0.16.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,jiter,0.16.0,cp311,cp311,manylinux2014_x86_64,338.92
kiwipiepy-0.22.2-cp39-abi3-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,kiwipiepy,0.22.2,cp39,abi3,manylinux2014_x86_64,5775.98
llguidance-0.7.30-cp39-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,llguidance,0.7.30,cp39,abi3,manylinux2014_x86_64,14653.25
llvmlite-0.44.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,llvmlite,0.44.0,cp311,cp311,manylinux2014_x86_64,41369.0
lxml-6.1.2-cp311-cp311-manylinux_2_26_x86_64.manylinux_2_28_x86_64.whl,lxml,6.1.2,cp311,cp311,manylinux_2_28_x86_64,5089.14
lz4-4.4.5-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,lz4,4.4.5,cp311,cp311,manylinux2014_x86_64,1336.6
markupsafe-3.0.3-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,markupsafe,3.0.3,cp311,cp311,manylinux2014_x86_64,22.4
msgpack-1.2.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,msgpack,1.2.1,cp311,cp311,manylinux2014_x86_64,413.91
msgspec-0.21.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,msgspec,0.21.1,cp311,cp311,manylinux2014_x86_64,214.7
multidict-6.7.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,multidict,6.7.1,cp311,cp311,manylinux2014_x86_64,240.52
ninja-1.13.0-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,ninja,1.13.0,py3,none,manylinux_2_17_x86_64,176.48
numba-0.61.2-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,numba,0.61.2,cp311,cp311,manylinux2014_x86_64,3739.48
numpy-2.2.6-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,numpy,2.2.6,cp311,cp311,manylinux2014_x86_64,16427.31
numpy-2.4.6-cp311-cp311-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,numpy,2.4.6,cp311,cp311,manylinux_2_28_x86_64,16521.64
nvidia_cublas_cu12-12.8.4.1-py3-none-manylinux_2_27_x86_64.whl,nvidia-cublas-cu12,12.8.4.1,py3,none,manylinux_2_27_x86_64,580416.92
nvidia_cuda_cupti_cu12-12.8.90-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-cuda-cupti-cu12,12.8.90,py3,none,manylinux_2_17_x86_64,10008.42
nvidia_cuda_nvrtc_cu12-12.8.93-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl,nvidia-cuda-nvrtc-cu12,12.8.93,py3,none,manylinux2010_x86_64,85976.59
nvidia_cuda_runtime_cu12-12.8.90-py3-none-manylinux2014_x86_64.manylinux_2_17_x86_64.whl,nvidia-cuda-runtime-cu12,12.8.90,py3,none,manylinux_2_17_x86_64,932.39
nvidia_cudnn_cu12-9.10.2.21-py3-none-manylinux_2_27_x86_64.whl,nvidia-cudnn-cu12,9.10.2.21,py3,none,manylinux_2_27_x86_64,690193.82
