파일명,패키지,버전,Python,ABI,플랫폼,크기(KB)
accelerate-1.14.0-py3-none-any.whl,accelerate,1.14.0,py3,none,any,380.12
aiohappyeyeballs-2.7.1-py3-none-any.whl,aiohappyeyeballs,2.7.1,py3,none,any,14.69
aiosignal-1.4.0-py3-none-any.whl,aiosignal,1.4.0,py3,none,any,7.31
annotated_doc-0.0.5-py3-none-any.whl,annotated-doc,0.0.5,py3,none,any,5.18
annotated_types-0.8.0-py3-none-any.whl,annotated-types,0.8.0,py3,none,any,13.11
anyio-4.14.2-py3-none-any.whl,anyio,4.14.2,py3,none,any,122.86
astor-0.8.1-py2.py3-none-any.whl,astor,0.8.1,py3,none,any,26.84
attrs-26.1.0-py3-none-any.whl,attrs,26.1.0,py3,none,any,65.96
bm25s-0.2.5-py3-none-any.whl,bm25s,0.2.5,py3,none,any,51.53
cachetools-7.1.7-py3-none-any.whl,cachetools,7.1.7,py3,none,any,16.44
certifi-2026.7.22-py3-none-any.whl,certifi,2026.7.22,py3,none,any,133.77
click-8.4.2-py3-none-any.whl,click,8.4.2,py3,none,any,116.45
cloudpickle-3.1.2-py3-none-any.whl,cloudpickle,3.1.2,py3,none,any,21.71
colorama-0.4.6-py2.py3-none-any.whl,colorama,0.4.6,py3,none,any,24.74
compressed_tensors-0.11.0-py3-none-any.whl,compressed-tensors,0.11.0,py3,none,any,175.73
cuda_pathfinder-1.7.0-py3-none-any.whl,cuda-pathfinder,1.7.0,py3,none,any,61.61
datasets-2.19.0-py3-none-any.whl,datasets,2.19.0,py3,none,any,529.31
depyf-0.19.0-py3-none-any.whl,depyf,0.19.0,py3,none,any,38.12
detect_installer-0.1.0-py3-none-any.whl,detect-installer,0.1.0,py3,none,any,4.43
dill-0.3.8-py3-none-any.whl,dill,0.3.8,py3,none,any,113.53
diskcache-5.6.3-py3-none-any.whl,diskcache,5.6.3,py3,none,any,44.48
distro-1.9.0-py3-none-any.whl,distro,1.9.0,py3,none,any,19.8
dnspython-2.8.0-py3-none-any.whl,dnspython,2.8.0,py3,none,any,323.33
einops-0.8.2-py3-none-any.whl,einops,0.8.2,py3,none,any,64.1
email_validator-2.3.0-py3-none-any.whl,email-validator,2.3.0,py3,none,any,34.77
fastapi-0.115.6-py3-none-any.whl,fastapi,0.115.6,py3,none,any,92.62
fastapi-0.141.1-py3-none-any.whl,fastapi,0.141.1,py3,none,any,128.86
fastapi_cli-0.0.32-py3-none-any.whl,fastapi-cli,0.0.32,py3,none,any,14.33
fastapi_cloud_cli-0.23.0-py3-none-any.whl,fastapi-cloud-cli,0.23.0,py3,none,any,76.23
filelock-3.32.4-py3-none-any.whl,filelock,3.32.4,py3,none,any,97.52
FlagEmbedding-1.3.3.tar.gz,FlagEmbedding,1.3.3,sdist,-,-,158.01
frozendict-2.4.7-py3-none-any.whl,frozendict,2.4.7,py3,none,any,15.88
fsspec-2024.3.1-py3-none-any.whl,fsspec,2024.3.1,py3,none,any,167.96
gguf-0.19.0-py3-none-any.whl,gguf,0.19.0,py3,none,any,115.7
h11-0.16.0-py3-none-any.whl,h11,0.16.0,py3,none,any,36.64
httpcore-1.0.9-py3-none-any.whl,httpcore,1.0.9,py3,none,any,76.94
httpx-0.28.1-py3-none-any.whl,httpx,0.28.1,py3,none,any,71.79
huggingface_hub-0.36.2-py3-none-any.whl,huggingface-hub,0.36.2,py3,none,any,553.12
idna-3.19-py3-none-any.whl,idna,3.19,py3,none,any,66.94
iniconfig-2.3.0-py3-none-any.whl,iniconfig,2.3.0,py3,none,any,7.31
ir_datasets-0.6.3-py3-none-any.whl,ir-datasets,0.6.3,py3,none,any,925.59
jinja2-3.1.6-py3-none-any.whl,jinja2,3.1.6,py3,none,any,131.74
joblib-1.5.3-py3-none-any.whl,joblib,1.5.3,py3,none,any,301.83
jsonpatch-1.33-py2.py3-none-any.whl,jsonpatch,1.33,py3,none,any,12.6
jsonpointer-3.1.1-py3-none-any.whl,jsonpointer,3.1.1,py3,none,any,7.48
jsonschema-4.26.0-py3-none-any.whl,jsonschema,4.26.0,py3,none,any,88.51
jsonschema_specifications-2025.9.1-py3-none-any.whl,jsonschema-specifications,2025.9.1,py3,none,any,18.0
kiwipiepy_model-0.22.1.tar.gz,kiwipiepy_model,0.22.1,sdist,-,-,77633.74
langchain_core-0.3.29-py3-none-any.whl,langchain-core,0.3.29,py3,none,any,401.95
langchain_openai-0.2.14-py3-none-any.whl,langchain-openai,0.2.14,py3,none,any,49.68
langchain_text_splitters-0.3.4-py3-none-any.whl,langchain-text-splitters,0.3.4,py3,none,any,27.13
langgraph-0.2.62-py3-none-any.whl,langgraph,0.2.62,py3,none,any,134.93
langgraph_checkpoint-2.1.2-py3-none-any.whl,langgraph-checkpoint,2.1.2,py3,none,any,44.69
langgraph_sdk-0.1.74-py3-none-any.whl,langgraph-sdk,0.1.74,py3,none,any,49.08
langsmith-0.2.11-py3-none-any.whl,langsmith,0.2.11,py3,none,any,319.23
lark-1.2.2-py3-none-any.whl,lark,1.2.2,py3,none,any,108.43
lm_format_enforcer-0.11.3-py3-none-any.whl,lm-format-enforcer,0.11.3,py3,none,any,44.35
markdown_it_py-4.2.0-py3-none-any.whl,markdown-it-py,4.2.0,py3,none,any,89.54
mdurl-0.1.2-py3-none-any.whl,mdurl,0.1.2,py3,none,any,9.75
milvus_lite-3.2.1-py3-none-any.whl,milvus-lite,3.2.1,py3,none,any,263.23
mistral_common-1.11.7-py3-none-any.whl,mistral-common,1.11.7,py3,none,any,6399.98
mpmath-1.3.0-py3-none-any.whl,mpmath,1.3.0,py3,none,any,523.63
multiprocess-0.70.16-py311-none-any.whl,multiprocess,0.70.16,py311,none,any,140.16
narwhals-2.25.0-py3-none-any.whl,narwhals,2.25.0,py3,none,any,456.42
networkx-3.6.1-py3-none-any.whl,networkx,3.6.1,py3,none,any,2020.02
openai-1.109.1-py3-none-any.whl,openai,1.109.1,py3,none,any,926.39
packaging-24.2-py3-none-any.whl,packaging,24.2,py3,none,any,63.92
partial_json_parser-0.2.1.1.post7-py3-none-any.whl,partial-json-parser,0.2.1.1.post7,py3,none,any,10.62
pdfminer_six-20260107-py3-none-any.whl,pdfminer-six,20260107,py3,none,any,6437.75
pdfplumber-0.11.10-py3-none-any.whl,pdfplumber,0.11.10,py3,none,any,58.64
peft-0.20.0-py3-none-any.whl,peft,0.20.0,py3,none,any,757.59
pluggy-1.6.0-py3-none-any.whl,pluggy,1.6.0,py3,none,any,20.06
prometheus_client-0.26.0-py3-none-any.whl,prometheus-client,0.26.0,py3,none,any,62.98
prometheus_fastapi_instrumentator-8.1.0-py3-none-any.whl,prometheus-fastapi-instrumentator,8.1.0,py3,none,any,19.19
py_cpuinfo-9.0.0-py3-none-any.whl,py-cpuinfo,9.0.0,py3,none,any,21.81
pyarrow_hotfix-0.7-py3-none-any.whl,pyarrow-hotfix,0.7,py3,none,any,7.74
pycountry-26.2.16-py3-none-any.whl,pycountry,26.2.16,py3,none,any,7856.05
pycparser-3.0-py3-none-any.whl,pycparser,3.0,py3,none,any,47.04
pydantic-2.10.4-py3-none-any.whl,pydantic,2.10.4,py3,none,any,421.65
pydantic-2.13.4-py3-none-any.whl,pydantic,2.13.4,py3,none,any,461.19
pydantic_extra_types-2.11.1-py3-none-any.whl,pydantic-extra-types,2.11.1,py3,none,any,77.66
pydantic_settings-2.7.0-py3-none-any.whl,pydantic-settings,2.7.0,py3,none,any,28.86
pygments-2.21.0-py3-none-any.whl,pygments,2.21.0,py3,none,any,1220.85
pymilvus-3.0.1-py3-none-any.whl,pymilvus,3.0.1,py3,none,any,377.75
pytest-8.3.4-py3-none-any.whl,pytest,8.3.4,py3,none,any,335.04
python_dateutil-2.9.0.post0-py2.py3-none-any.whl,python-dateutil,2.9.0.post0,py3,none,any,224.5
python_dotenv-1.0.1-py3-none-any.whl,python-dotenv,1.0.1,py3,none,any,19.4
python_json_logger-4.2.0-py3-none-any.whl,python-json-logger,4.2.0,py3,none,any,14.64
python_multipart-0.0.32-py3-none-any.whl,python-multipart,0.0.32,py3,none,any,29.34
rank_bm25-0.2.2-py3-none-any.whl,rank-bm25,0.2.2,py3,none,any,8.38
referencing-0.37.0-py3-none-any.whl,referencing,0.37.0,py3,none,any,26.14
requests-2.32.3-py3-none-any.whl,requests,2.32.3,py3,none,any,63.41
requests_toolbelt-1.0.0-py2.py3-none-any.whl,requests-toolbelt,1.0.0,py3,none,any,53.2
rich-15.0.0-py3-none-any.whl,rich,15.0.0,py3,none,any,303.37
rich_toolkit-0.20.3-py3-none-any.whl,rich-toolkit,0.20.3,py3,none,any,35.35
sentence_transformers-5.7.0-py3-none-any.whl,sentence-transformers,5.7.0,py3,none,any,597.0
sentry_sdk-2.68.0-py3-none-any.whl,sentry-sdk,2.68.0,py3,none,any,506.51
setuptools-84.0.0-py3-none-any.whl,setuptools,84.0.0,py3,none,any,799.04
shellingham-1.5.4-py2.py3-none-any.whl,shellingham,1.5.4,py3,none,any,9.53
six-1.17.0-py2.py3-none-any.whl,six,1.17.0,py3,none,any,10.79
sniffio-1.3.1-py3-none-any.whl,sniffio,1.3.1,py3,none,any,10.0
starlette-0.41.3-py3-none-any.whl,starlette,0.41.3,py3,none,any,71.51
starlette-1.6.0-py3-none-any.whl,starlette,1.6.0,py3,none,any,74.19
sympy-1.14.0-py3-none-any.whl,sympy,1.14.0,py3,none,any,6151.71
tenacity-9.1.4-py3-none-any.whl,tenacity,9.1.4,py3,none,any,28.25
threadpoolctl-3.6.0-py3-none-any.whl,threadpoolctl,3.6.0,py3,none,any,18.2
tqdm-4.70.0-py3-none-any.whl,tqdm,4.70.0,py3,none,any,78.3
transformers-4.44.2-py3-none-any.whl,transformers,4.44.2,py3,none,any,9243.52
transformers-4.57.1-py3-none-any.whl,transformers,4.57.1,py3,none,any,11709.89
typer-0.27.1-py3-none-any.whl,typer,0.27.1,py3,none,any,119.99
typing_extensions-4.16.0-py3-none-any.whl,typing-extensions,4.16.0,py3,none,any,44.5
typing_inspection-0.4.4-py3-none-any.whl,typing-inspection,0.4.4,py3,none,any,14.4
tzdata-2026.3-py2.py3-none-any.whl,tzdata,2026.3,py3,none,any,340.01
urllib3-2.7.0-py3-none-any.whl,urllib3,2.7.0,py3,none,any,128.01
uvicorn-0.34.0-py3-none-any.whl,uvicorn,0.34.0,py3,none,any,60.85
wheel-0.48.0-py3-none-any.whl,wheel,0.48.0,py3,none,any,32.54
