파일명,패키지,버전,Python,ABI,플랫폼,크기(KB)
aiohttp-3.14.1-cp311-cp311-win_amd64.whl,aiohttp,3.14.1,cp311,cp311,win_amd64,472.08
annotated_types-0.7.0-py3-none-any.whl,annotated-types,0.7.0,py3,none,any,13.32
anyio-4.14.1-py3-none-any.whl,anyio,4.14.1,py3,none,any,121.95
certifi-2026.6.17-py3-none-any.whl,certifi,2026.6.17,py3,none,any,130.17
cffi-2.1.0-cp311-cp311-win_amd64.whl,cffi,2.1.0,cp311,cp311,win_amd64,180.77
charset_normalizer-3.4.9-cp311-cp311-win_amd64.whl,charset-normalizer,3.4.9,cp311,cp311,win_amd64,157.63
colorama-0.4.6-py2.py3-none-any.whl,colorama,0.4.6,py2,none,any,24.74
cryptography-49.0.0-cp311-abi3-win_amd64.whl,cryptography,49.0.0,cp311,abi3,win_amd64,3720.73
faiss_cpu-1.15.0-cp311-cp311-win_amd64.whl,faiss-cpu,1.15.0,cp311,cp311,win_amd64,15866.4
filelock-3.29.7-py3-none-any.whl,filelock,3.29.7,py3,none,any,44.96
frozenlist-1.8.0-cp311-cp311-win_amd64.whl,frozenlist,1.8.0,cp311,cp311,win_amd64,43.03
grpcio-1.67.1-cp311-cp311-win_amd64.whl,grpcio,1.67.1,cp311,cp311,win_amd64,4252.48
httptools-0.8.0-cp311-cp311-win_amd64.whl,httptools,0.8.0,cp311,cp311,win_amd64,88.86
idna-3.18-py3-none-any.whl,idna,3.18,py3,none,any,63.92
iniconfig-2.3.0-py3-none-any.whl,iniconfig,2.3.0,py3,none,any,7.31
ir_datasets-0.6.1-py3-none-any.whl,ir-datasets,0.6.1,py3,none,any,925.27
jiter-0.16.0-cp311-cp311-win_amd64.whl,jiter,0.16.0,cp311,cp311,win_amd64,194.49
kiwipiepy-0.22.2-cp39-abi3-win_amd64.whl,kiwipiepy,0.22.2,cp39,abi3,win_amd64,2455.98
lxml-6.1.1-cp311-cp311-win_amd64.whl,lxml,6.1.1,cp311,cp311,win_amd64,3931.12
